xeber,label
"BP sirketinin 2017ci ilde gelirleri iki defeden cox artaraq 6,2 mlrd. dollara catib.APAEconomicsin melumatina gore, bunu BPnin maliyye direktoru Brayan Gilveri Brian Gilvary Reutersagentliyine musahibesinde bildirib.Onun sozlerine gore, buna sebeb neftin qiymetinin yukselmesi, hemcinin neft ve qaz hasilatinin artmasidir. Bu da sirkete sehm alisi heyata kecirmeye imkan verib.O bildirib ki, 2018 ci ilde neftin bir barelinin qiymeti 50 dollar olacagi halda gelir elde ede bilecek sirketin butun il erzinde istehsali 12 artaraq gundelik olaraq 2,47 mln. barele catib. Buna sebeb ise 2017ci ilde BPnin 7 yeni neft ve qaz yataqlarinin istismara vermesi olub. oten il BPnin emal ve ticaretden elde etdiyi gelirleri de 7 mlrd. dollara qeder artib. 2017ci ilin dorduncu rubunde sirketin pul axini 6,2 mlrd. dollara qeder artib. B. Gilvari bildirib ki, oten ilin dorduncu rubunde sirketin menfeetinin qiymetlendirmesinden sonra xalis menfeeti 2,1 mlrd. dollari otub. Bu da analitikler terefinden verilen 1,9 mlrd. dollarliq proqnozdan coxdur. sirketin butun il uzre kapital xercleri 16,6 mlrd. dollara catib ki, bunun da 2021ci ile qeder saxlanilmasi planlasdirilir. B. Gilvari qeyd edib ki, bu ilin yanvar ayinda neftin qiymetinin ciddi artimina ve uc illik maksimuma catmasina baxmayaraq, ilin sonunda neftin bir barelinin qiymetinin 5055 dollara qeder azalacagi gozlenilir. ",iqtisadiyyat
"Bu gun Abseron rayonunun tebii qaz techizatinda mehdudiyyet yaranib.Azeriqazistehsalat BirliyindenAPAEconomicse verilen melumata gore, Musviqabad qazpaylayici stansiyasinin cixisinda adi cekilen stansiyadan qidalanan orta tezyiqli diametri 426 mmlik yeralti qaz kemerinde qaz sizmasi askar edilib.Yarana bilecek bedbext hadiselerin qarsisinin alinmasi ve qaz sizmasinin legvi ucun aparilacaq temirberpa isleri ile elaqedar bu gun saat 12 30dan  etibaren hemin kemerde qaz techizati dayandirilib. Tebii qaz techizatinin dayanmasi neticesinde Abseron rayonunun Xirdalan seheri daxil olmaqla rayonun, Qobu, Asagi Guzdek, Bas Guzdek, Hokmeli, cicek qesebelerine, hemcinin, Atyali adlanan yasayis massivine tebii qazin verilisinde fasile yaranib.Azeriqazin TemirTikinti idaresinin briqadasi terefinden hemin erazide temirberpa isleri aparilir. Yaranmis mehdudiyyet saat 16 00dek aradan qaldirilacaq ve yasayis menteqelerinin qaz techizati berpa edilecek.Yaranmis mehdudiyyetle bagli Azeriqazbutun istehlakcilardan tebii qazdan istifade zamani xususile diqqetli olmalarini ve texniki tehlukesizlik qaydalarina riayet edilmesini xahis edir,  deye melumatda vurgulanib.",iqtisadiyyat
"Bu gun Milli Meclisin Regional meseleler komitesinin iclasi kecirilib.APAEconomicsin melumatina gore, iclasda edliyye Nazirliyi yaninda Belediyyelerle is merkezinin oten il uzre fealiyyeti muzakire olunub. edliyye nazirinin muavini Vilayet Zahirov bildirib ki, 2017ci ilde Belediyyelerle is merkezine 65 mine yaxin belediyye akti daxil olub: Her bir belediyye akti huquqi ekspertizadan kecirilib, 1979 aktin deyisdirilmesi ve legv edilmesi ucun belediyyelere teklifler verilib. Qanunvericiliye uygun olmadigi ucun 741 akt legv edilib, 714u ise deyisdirilib. Onun sozlerine gore, oten il 2636 hektar torpaq sahesinin qanunsuz istifadeye verilmesi hallari askarlanib:“Hemin torpaq sahelerinin belediyyelere qaytarilmasi istiqametinde is aparilib. Nazir muavini elave edib ki, oten il bezi belediyyelerin fealiyyetinde cox ciddi qanun pozuntulari qeyde alinib. V.Zahirov bildirib ki, qanun pozuntusu ile bagli 24 fakt uzre materiallar huquqi qiymet verilmesi ucun prokurorluga ve muvafiq huquq muhafize orqanlarina gonderilib: Bu faktlarla bagli Bas prokuror yaninda Korrupsiyaya qarsi Mubarize Bas idaresinde arasdirmalar aparilib ve 15 fakt uzre cinayet isi baslanilib”. umumilikde oten il torpaq qanunvericiliyinin pozulmasi hallari 2016ci ile nisbeten 3 defeden cox azalib. iclasin sonunda belediyyelerin fealiyyetine inzibati nezareti heyata keciren orqanin illik meruzesi Milli Meclisin plenar iclasina tovsiye olunub.",iqtisadiyyat
"cinin paytaxti Pekinde Bir kemer, bir yoltesebbusunun reallasmasinda Transxezer Beynelxalq serqQerb Ticaret ve Neqliyyat dehlizinin rolu movzusunda beynelxalq konfrans kecirilib.Azerbaycan Demir YollariQSCnin ictimaiyyetle elaqeler sobesinin reisi Sevinc QedirovaninAPAEconomics”e verdiyi melumata gore, Azerbaycanin tesebbusu, Turkiye, Qazaxistan ve Gurcustanin Pekindeki sefirliklerinin teskilatciligi, cinin Kommersiya Nazirliyinin desteyi ile kecirilen konfrans Transxezer Beynelxalq serqQerb Ticaret ve Neqliyyat dehlizinin tesviqi meqsedi dasiyib. Konfransin acilisinda Azerbaycanin iqtisadiyyat naziri sahin Mustafayev, cin kommersiya nazirinin muavini Van souven, Turkiyenin iqtisadiyyat nazirinin muavini Fatih Metin, Qazaxistanin investisiya ve inkisaf nazirinin muavini Roman Sklyar, Gurcustanin iqtisadiyyat ve davamli inkisaf nazirinin muavini Georgi cerkezisvili cixis edibler. Sonra Transxezer Beynelxalq serqQerb Ticaret ve Neqliyyat dehlizine dair film numayis olunub, panel iclaslari kecirilib. iclasdaAzerbaycan Demir YollariQSCnin sedri Cavid Qurbanov cixis edib. C. Qurbanov cixisinda Transxezer Beynelxalq Neqliyyat Marsrutu barede genis melumat verib. Orta dehlizin cin kimi neheng iqtisadiyyata malik olan olke ve  dunyanin en boyuk bazarindan biri olan Avropa ucun ehemiyyetli bir marsrut oldugunu diqqete catdirib. Orta dehlizin marsrutlarin diversifikasiya imkanlarini genislendirdiyini ve Avropanin prioritet hesab etdiyi dehlizlerden biri oldugunu qeyd edib. Bu dehlizin  daha da inkisaf etdirilmesi istiqametinde istirakci olkelerde dovlet terefinden ardicil tedbirler gorulduyunu, hazirda Orta koridora daxil olan olkelerde demir yolu infrastrukturunun yenilendiyini, deniz limanlari ve gemicilik sirketlerinin  inkisaf etdirildiyini, Azerbaycan ve Qazaxistanin Xezer denizinde yeni limanlar tikerek istifadeye verdiyini, habele marsrutda azaq ticaret zonalari ve hablar yaradildigini vurgulayib. Orta dehlizin reqabet qabiliyyetinin artirilmasi istiqametinde en muhum nailiyyetlerden biri kimi yenice istifadeye verilmis BakiTbilisiQars demir yolu xettinin oldugunu diqqete catdirib.BakiTbilisiQars demir yolu, tekce Azerbaycan, Gurcustan ve Turkiye arasinda deyil, Avrasiya regionunda emekdasligin ve ticaretin inkisafina tohfe vermekle, Avropa ile Asiya arasinda yukdasimalarin hecminin artmasina serait yaradacaq. BakiTbilisiQars demir yolu xetti Orta dehlizin terkib hissesi olmaqla, cinle Avropa arasinda en qisa marsrutdur. BakiTbilisiQars demir yolu xetti Orta dehlizle yukdasimalarin qiymetini asagi salmaqla yanasi, yuklerin catdirilma muddetini xeyli azaldir”,   deye C.Qurbanov bildirib. Konfrans cercivesinde cin Demir Yollari Korpuleri insaati Korporasiyasi ileAzerbaycan Demir YollariQSC  arasinda memorandum imzalanib. C.Qurbanov azerbaycanli sahibkarlarla da gorusub. Gorusde demir yollari sahesinde dasimaciliqla bagli meseleler muzakire olunub. ",iqtisadiyyat
"Azerbaycan prezidenti seckilerinin 2018ci il aprelin 11ne teyin olunmasi ile elaqedar 2018ci il ucun is vaxtinin normasive 2018ci ilin istehsalat teqviminde muvafiq deyisiklikler edilecek APA Economics xeber verir ki bu barede emek ve ehalinin Sosial Mudafie Nazirliyinin ictimaiyyetle elaqeler sobesinin mudiri Elman Babayev melumat verib emek Mecellesinin 1051ci maddesine esasen Milli Meclisin deputatlarinin Prezidentin belediyye uzvlerinin seckileri hemcinin referendum zamani sesverme gunu secki referendum kecirilen erazide is gunu hesab edilmir. Sesverme gunu qanunvericiliye uygun olaraq mueyyen edilirdeye qeyd eden E.Babayev diqqete catdirib ki emek Mecellesinin 108ci maddesine esasen bu Mecellenin 91 92 ve 93cu maddelerinde nezerde tutulmus hallar emek seraiti ile elaqedar qisaldilmis is vaxti mueyyen edilen hallardir istisna olunmaqla, qalan is yerlerinde sesverme gunu qabagi is gununun muddeti heftelik is gunlerinin sayindan asili olmayaraq bir saat qisaldilir. sobe mudiri vurgulayib ki Novbedenkenar Azerbaycan Respublikasi Prezidenti seckilerinin elan edilmesi haqqindaprezidentin 5 fevral 2018ci il tarixli Serencami ile Merkezi Secki Komissiyasina novbedenkenar Azerbaycan Respublikasi Prezidenti seckilerinin 2018ci il aprelin 11ne teyin olunmasi ve Secki Mecellesinde mueyyen edilmis qaydada kecirilmesinin temin edilmesi barede serencam verilib.Yuxarida qeyd edilenlere esasen, emek Mecellesinin 96ci maddesinin 3cu hissesine uygun olaraq emek ve ehalinin Sosial Mudafiesi Nazirliyinin 2017ci il 20 dekabr tarixli 18 nomreli qerari ile tesdiq edilmis 2018ci il ucun is vaxtinin normasi ve 2018ci ilin istehsalat teqviminde muvafiq deyisiklikler edilerek aprel ve oktyabr aylarinin ayliq is vaxti normasi teshih olunacaq deye E.Babayev bildirib.",iqtisadiyyat
"Azercell TelekomMMC fakturasiz SimSim xett sistemine aid nomrelerin abunecilerine muraciet edib APA Economics xeber verir ki fevral 10dan qeyd olunan abuneciler Belarus Qazaxistan Qirgizistan Moldova Rusiya Tacikistan Ukrayna ozbekistana sefer ederken rominqde mobil internet xidmetinden faydalana bilecek ve her MBa gore 2,20 manat xidmet haqqi odeyecekler. Bundan basqa, fakturasiz SimSim xett sistemine aid nomrelerin abunecileri martin 5den etibaren Albaniya Almaniya Avstriya Bolqaristan cernoqoriya, cexiya, cin, Danimarka, Estoniya, Finlandiya, Fransa, Hollandiya, iran, irlandiya, islandiya, ispaniya, israil, isvec, Latviya, Litva, Lixtensteyn, Macaristan, Makedoniya, Malta, Norvec, Polsa, Portuqaliya, Ruminiya, Serbiya, Slovakiya, Sloveniya, Xorvatiya, Yunanistana sefer ederken rominqde mobil internet xidmetinin her bir MBa gore 3,50 manat, ABs, Avstraliya, Kanada, Yeni Zelandiyaya sefer ederken ise 4 manat xidmet haqqi odeyecekler. Mobil internet xidmetinin hesablanma intervali 30 KB teskil edir. Rominqde internet xidmetinden faydalanmaq ucun nomrenin cari balans hesabinda 1 manat minimal mebleg olmalidir.",iqtisadiyyat
"Daxili islere mudaxileni mueyyen etmek, ictimaiyyete catdirmaq ve bunu olduqca etrafli etmek lazimdir. APAnin Moskva muxbirinin verdiyi melumata gore, bunu kecirdiyi brifinqde Rusiya Xarici isler Nazirliyinin resmi numayendesi Mariya Zaxarova Rusiya ve Azerbaycan daxili islerine qarisilmasi ve prezident seckileri oncesi gosterilen tezyiqle nece mubarize aparmalidir sualina cavabinda deyib. O bildirib ki, bu, cox ciddi meseledir Elece de, daxili islere mudaxile ile bagli melumatlari muvafiq ixtisaslasmis beynelxalq strukturlara teqdim etmek lazimdir, hansi ki, bu strukturlar sadece mueyyen etmekle deyil, bele mudaxilelere reaksiya vermekle mesguldurlar. Burada resept sadedir. ",siyaset
"Kesmir bizim ucun Dagliq Qarabagdir. APAnin melumatina gore, bu sozleri Pakistanin Azerbaycandaki sefiri Seid Xan Mohmand deyib. O, iki munaqise arasinda ferq gormediyini bildirib. Qeyd edek ki, bu gun Pakistan sefirliyinde Kesmir Hemreylik Gunu ile bagli tedbir kecirilib. Tedbirde munaqise haqqinda film numayis olunub. Sefir munaqise barede olke prezidenti ve bas nazirinin muracietini oxuyub. Tedbirde Pakistandan Azerbaycana gelen turistlerin sayinin artmaqda davam etdiyi de bildirilib. Bele ki, 2 il evvel Pakistandan Azerbaycana 3 min, oten il 17 min turist geib. Bu il reqemin 2530 mine yukseleceyi gozlenilir.",siyaset
"Turkiye ve Azerbaycan Gurcustan ucun cox vacib olkelerdir. APAnin yerli burosunun melumatina gore, bunu Gurcustanin xarici isler naziri Mixeil Canelidze yerli ictimai televiziya kanalinda yayimlananHeftenin musahibesiverilisinde deyib.  O bildirib ki, her iki olke Gurcustanin strateji terefdasidir Biz regional ve cox ehemiyyetli layiheler heyata keciririk ve emekdasligimiz yalniz uc olkeni deyil, butun region ve Avropani ehate edir. M. Canelidze Gurcustanin Azerbaycanla coxterefli formatda emekdasliq etdiyini vurgulayib Biz serq terefdasligi proqraminda istirak edirik ve demokratik institutlar ve Avropa ile munasibetler uzre calisiriq. XiN bascisi qeyd edib ki, Gurcustan qonsu, dost ve terefdas olkelerdeki daxili siyasi proseslerin qiymetlendirilmesinde istirak etmeli deyil.",siyaset
"Tofiq Abdullayev Azerbaycan Respublikasinin Qeter Dovletinde fovqelade ve selahiyyetli sefiri vezifesinden geri cagirilib. APAnin xeberine gore, bu barede prezident ilham eliyev serencam imzalayib.",siyaset
"Holokostun animi erefesinde Avropa Parlamentinin isvecden olan uzvu Lars Adaktussonun Ermenistan terefinden bir milyondan artiq insana qarsi qanli etnik temizlemenin, o cumleden insanliq eleyhine cinayet ve soyqirim akti olan Xocali faciesinin toredildiyi Azerbaycanin isgal olunmus erazilerine sefer etmesi isgal, tecavuz ve qanli etnik temizleme emellerine destek vermesi menasi dasiyir. Bunu APAya aciqlamasinda XiNin metbuat xidmetinin rehberi Hikmet Haciyev deyib. H. Haciyev bildirib ki, bu kimi qanunsuz sefer ile Lars Adaktusson Azerbaycanin qanunlarini ve beynelxalq huququn norma ve prinsiplerini pozmaqla beraber, munaqisenin danisiqlar yolu ile helli istiqametinde ATeTin Minsk Qrupunun hemsedrlerinin seylerine xelel getirir. Avropa Parlamentinin uzvu Lars Adaktussonun bu seferinin Brusselde fealiyyet gosteren ve cirkli brilyant ticareti ve pullarin yuyulmasi ile mesgul olan ermeni lobbi rehberinin istiraki ve maliyyesi ile heyata kecirilmesi xususile utancvericidir. Avropa ittifaqi uzv dovletlerinin de aqressiv separatizm meyllerinden eziyyet cekdiyi, Avropa ittifaqi ve Avropa Parlamenti terefinden serq Terefdasligi olkelerinin erazi butovluyu ve suverenliyi desteklendiyi halda, Lars Adaktussonun Azerbaycanin isgal olunmus erazilerine qanunsuz seferi ve isgal olunmus erazilerde yaradilmis kriminal rejimle temasa girmesi hec bir halda basa dusulen deyildir. Aqressiv separatizmi, isgal ve tecavuzun neticelerini desteklemek evezine Avropa Parlamentinin uzvu kimi Lars Adaktussonun isvec ve Finlandiya arasinda ugurlu muxtariyyet modeli olan Alaand adalari tecrubesini bolusmesi ve tesviq etmesi ErmenistanAzerbaycan munaqisesinin helline ve regionda davamli sulhun temin olunmasina tohfe vere bilerdi. Sozugeden sexsin adi arzuolunmaz sexsler siyahisina daxil edilecek.  deye XiN sozcusu qeyd edib.",siyaset
"Bu il Azerbaycan Xalq Cumhuriyyetinin 100 illiyi ile yanasi, musteqil Azerbaycanin memari, dovletciliyimizin mohkemlenmesinin banisi, 20 yanvar faciesi zamani dunyaya ilk olaraq sozunu catdiran umummilli lider Heyder eliyevin 95 illiyinin qeyd edilmesi ile bagli tedbirler plani ile bagli de qerarlar qebul edek. APAnin melumatina gore, bunu Milli Meclisin bu gun kecirilen iclasinda Yeni Azerbaycan Partiyasinin YAP icra katibinin muavini, deputat Siyavus Novruzov deyib. O, bununla bagli Amnistiya aktinin qebul edilmesini, hebsde olan bir sira sexslerin gunahlarin bagislanmasini teklif edib: Humanizm umummilli lider Heyder eliyevin esas prinsipi olub, onun ad gunu erefesinde bir sira amnistiya aktlari olub, insanlar azadliga cixib. Novbeti defe bele bir akti hazirlamaqla yaxsi addim atmis olariq ",siyaset
"Milli Meclisin bu gun kecirilen iclasinda inzibati Xetalar Mecellesine yeni maddenin elave olunmasi muzakire olunub. APAnin melumatina gore, teklif edilen 395.0.7ci maddeye esasen,Muvafiq icra hakimiyyeti orqaninin yaratdigi qurumun icazesi alinmadan olculerinden asili olmayaraq, aciq mekanda reklam qurgularinin tikintisine, qurasdirilmasina ve onlara konstruktiv deyisikliklerin edilmesinegore cerimeler mueyyenlesdirilir. Buna gore fiziki sexsler 300 manatdan 500 manata, vezifeli sexsler 1500 manatdan 2500 manata, huquqi sexsler ise 10 000 manatdan 15 000 manata qeder cerimelenecekler.",siyaset
"oten il quvveye minmis Herbi veziyyet haqqindaqanunun tetbiqi ile elaqedar Azerbaycan prezidenti terefinden Milli Meclise bir sira qanunlara ve senedlere elave ve duzelislerin edilmesi teklifi daxil olub Bunu APAya musahibesinde Milli Meclisin i vitsespikeri, Mudafie, tehlukesizlik ve korrupsiya ile mubarize komitesinin sedri Ziyafet esgerov bildirib. O qeyd edib ki, bunlar inzibati Xetalar, Cinayet, Miqrasiya mecellelerine,Siyasi partiyalar haqqinda, Qeyri hokumet teskilatlari ictimai birlikler ve fondlar haqqinda,Xidmeti ve mulki silah haqqindave Mudafie haqqinda qanunlara nezerde tutulan elave ve duzelislerdir. Layihelere sessiya erzinde baxilmasi nezerde tutulur.",siyaset
